Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
Turkey,38.96,35.45,Ankara,TUR,Turkish Lira,Flag_of_Turkey.svg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,83429615,Turkey
Turkmenistan,30.099,59.67,Ashgabat,TKM,Manat,Flag_of_Turkmenistan.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,5942089,Turkmenistan
Turks and Caicos Islands,21.84,-71.75,Cockburn Town,TCA,US Dollar,Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg,38191,Turks and Caicos Islands
Tuvalu,-8.47,179.062,Funafuti,TUV,Australian Dollar,Flag_of_Tuvalu.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg,11646,Tuvalu
Uganda,1.72,32.06,Kampala,UGA,Uganda Shilling,Flag_of_Uganda.svg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg,44269594,Uganda
Ukraine,49.2,30.3,Kyiv,UKR,Ukraine Hryvnia,Flag_of_Ukraine.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,44385155,Ukraine
United Arab Emirates,24.84,53.84,Abu Dhabi,ARE,Arab Emirates Dirham,Flag_of_the_United_Arab_Emirates.svg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,9770529,United Arab Emirates
United Kingdom,54.9,-2.42,London,GB,Pound Sterling,Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,66834405,United Kingdom
United States,39.87,-102.26,Washington,USA,US Dollar,Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,328239523,United States
Uruguay,-32.86,-56.3,Montevideo,URY,Uruguayan Peso,Flag_of_Uruguay.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,3461734,Uruguay
Uzbekistan,42.11,63.81,Toskent,UZB,Uzbekistan Sum,Flag_of_Uzbekistan.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,33580650,Uzbekistan
Vanuatu,-15.12,166.79,Port-Vila,VUT,Vanuatu Vatu,Flag_of_Vanuatu.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg,299882,Vanuatu
Venezuela,7.58,-65.5,Caracas,VEN,Venezuelan Bolivar,Flag_of_Venezuela.svg,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,28515829,"Venezuela, RB"
Vietnam,14.5,107.88,Hanoi,VNM,Vietnamese Dong,Flag_of_Vietnam.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,96462106,Vietnam
"Virgin Islands, U.S.",17.74,-64.74,Charlotte Amalie,VIR,US Dollar,,,106631,Virgin Islands (U.S.)
Yemen,16.15,47.95,Sanaa,YEM,Yemeni Rial,Flag_of_Yemen.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,597339,
Zambia,-13.66,27.5,Lusaka,ZMB,Zambian Kwacha,Flag_of_Zambia.svg,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,29161922,"Yemen, Rep."
Zimbabwe,-18.49,28.36,Harare,ZWE,Zimbabwe Dollar,Flag_of_Zimbabwe.svg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg,17861030,Zambia
,,,,,,,,14645468,Zimbabwe
